﻿year,region,energy_cost,size_estabish,value,unit,source
2560,ทั่วประเทศ,ค่าบำรุงการกุศล,26 - 30 คน,1705.05,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าบำรุงการกุศล,31 - 50 คน,9489.59,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าบำรุงการกุศล,51 - 200 คน,37695.85,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าบำรุงการกุศล,มากกว่า 200 คน,29333.81,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าซ่อมแซมสิ่งก่อสร้าง ยานพาหนะ เครื่องจักรและเครื่องมือฯลฯ,รวม,3855006.94,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าซ่อมแซมสิ่งก่อสร้าง ยานพาหนะ เครื่องจักรและเครื่องมือฯลฯ,1 - 15 คน,512381.88,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าซ่อมแซมสิ่งก่อสร้าง ยานพาหนะ เครื่องจักรและเครื่องมือฯลฯ,16 - 25 คน,318486.6,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าซ่อมแซมสิ่งก่อสร้าง ยานพาหนะ เครื่องจักรและเครื่องมือฯลฯ,26 - 30 คน,73035.34,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าซ่อมแซมสิ่งก่อสร้าง ยานพาหนะ เครื่องจักรและเครื่องมือฯลฯ,31 - 50 คน,188062.8,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าซ่อมแซมสิ่งก่อสร้าง ยานพาหนะ เครื่องจักรและเครื่องมือฯลฯ,51 - 200 คน,1059576.37,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าซ่อมแซมสิ่งก่อสร้าง ยานพาหนะ เครื่องจักรและเครื่องมือฯลฯ,มากกว่า 200 คน,1703463.95,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเช่ายานพาหนะ เครื่องจักรและเครื่องมือ ฯลฯ,รวม,340460.08,พันบาท,สำนักงานสถิติแห่งชาติ
